"","id","block","refClass","appliance","pct_goal","rounded","state","family","state_avg","plan","value","change","state_dif"
"222",75029,1,"USD","WATER","10%","Not Rounded","Colorado",11667,5832,"plan2",6000,-5667,168
"223",75029,1,"USD","REFRIG","10%","Not Rounded","Colorado",1370,1142,"plan1",1000,-370,-142
"224",75029,1,"USD","REFRIG","10%","Not Rounded","Colorado",1370,1142,"plan2",1100,-270,-42
"225",75029,1,"USD","OTHER","10%","Not Rounded","Colorado",7982,6652,"plan1",5000,-2982,-1652
"226",75029,1,"USD","OTHER","10%","Not Rounded","Colorado",7982,6652,"plan2",4500,-3482,-2152
"227",75029,1,"USD","TOTAL","10%","Not Rounded","Colorado",39768,30535,"plan1",26300,-13468,-4235
"228",75029,1,"USD","TOTAL","10%","Not Rounded","Colorado",39768,30535,"plan2",27000,-12768,-3535
"229",75029,2,"USD","AC","15%","Rounded","Texas",7000,4249,"plan1",3500,-3500,-749
"230",75029,2,"USD","AC","15%","Rounded","Texas",7000,4249,"plan2",4000,-3000,-249
"231",75029,2,"USD","HEAT","15%","Rounded","Texas",6000,5099,"plan1",4500,-1500,-599
"232",75029,2,"USD","HEAT","15%","Rounded","Texas",6000,5099,"plan2",3500,-2500,-1599
"233",75029,2,"USD","WATER","15%","Rounded","Texas",5000,4396,"plan1",3800,-1200,-596
"234",75029,2,"USD","WATER","15%","Rounded","Texas",5000,4396,"plan2",3500,-1500,-896
"235",75029,2,"USD","REFRIG","15%","Rounded","Texas",3000,1318,"plan1",1200,-1800,-118
"236",75029,2,"USD","REFRIG","15%","Rounded","Texas",3000,1318,"plan2",1300,-1700,-18
"237",75029,2,"USD","OTHER","15%","Rounded","Texas",8000,7883,"plan1",6500,-1500,-1383
"238",75029,2,"USD","OTHER","15%","Rounded","Texas",8000,7883,"plan2",7000,-1000,-883
"239",75029,2,"USD","TOTAL","15%","Rounded","Texas",29000,22945,"plan1",19500,-9500,-3445
"240",75029,2,"USD","TOTAL","15%","Rounded","Texas",29000,22945,"plan2",19300,-9700,-3645
"241",75037,1,"kWh","AC","10%","Rounded","Massachusetts",0,322,"plan1",100,100,-222
"242",75037,1,"kWh","AC","10%","Rounded","Massachusetts",0,322,"plan2",100,100,-222
"243",75037,1,"kWh","HEAT","10%","Rounded","Massachusetts",27000,19108,"plan1",23000,-4000,3892
"244",75037,1,"kWh","HEAT","10%","Rounded","Massachusetts",27000,19108,"plan2",23900,-3100,4792
"245",75037,1,"kWh","WATER","10%","Rounded","Massachusetts",11000,5070,"plan1",10500,-500,5430
"246",75037,1,"kWh","WATER","10%","Rounded","Massachusetts",11000,5070,"plan2",10000,-1000,4930
"247",75037,1,"kWh","REFRIG","10%","Rounded","Massachusetts",1000,1025,"plan1",1000,0,-25
"248",75037,1,"kWh","REFRIG","10%","Rounded","Massachusetts",1000,1025,"plan2",1000,0,-25
"249",75037,1,"kWh","OTHER","10%","Rounded","Massachusetts",7000,6682,"plan1",6800,-200,118
"250",75037,1,"kWh","OTHER","10%","Rounded","Massachusetts",7000,6682,"plan2",6400,-600,-282
"251",75037,1,"kWh","TOTAL","10%","Rounded","Massachusetts",46000,32207,"plan1",41400,-4600,9193
"252",75037,1,"kWh","TOTAL","10%","Rounded","Massachusetts",46000,32207,"plan2",41400,-4600,9193
"253",75037,2,"kWh","AC","15%","Not Rounded","Texas",6573,4249,"plan1",6073,-500,1824
"254",75037,2,"kWh","AC","15%","Not Rounded","Texas",6573,4249,"plan2",6573,0,2324
"255",75037,2,"kWh","HEAT","15%","Not Rounded","Texas",6118,5099,"plan1",6118,0,1019
"256",75037,2,"kWh","HEAT","15%","Not Rounded","Texas",6118,5099,"plan2",4118,-2000,-981
"257",75037,2,"kWh","WATER","15%","Not Rounded","Texas",5257,4396,"plan1",4057,-1200,-339
"258",75037,2,"kWh","WATER","15%","Not Rounded","Texas",5257,4396,"plan2",4257,-1000,-139
"259",75037,2,"kWh","REFRIG","15%","Not Rounded","Texas",2639,1318,"plan1",1339,-1300,21
"260",75037,2,"kWh","REFRIG","15%","Not Rounded","Texas",2639,1318,"plan2",1639,-1000,321
"261",75037,2,"kWh","OTHER","15%","Not Rounded","Texas",8459,7883,"plan1",8102,-357,219
"262",75037,2,"kWh","OTHER","15%","Not Rounded","Texas",8459,7883,"plan2",7526,-933,-357
"263",75037,2,"kWh","TOTAL","15%","Not Rounded","Texas",29046,22945,"plan1",24599,-4447,1654
"264",75037,2,"kWh","TOTAL","15%","Not Rounded","Texas",29046,22945,"plan2",24599,-4447,1654
"265",75038,1,"kWh","AC","10%","Rounded","Colorado",1000,498,"plan1",500,-500,2
